Site,Province,Year,anonymized_id,N,Ages,Bodo,SSU,Cattle,Horses,SmallStock,Yaks,Camels,MaterialWealth,MeanCampInheritance,Wages,Education,HayBought
D,Khovsgol,2016,788,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,Khovsgol,2016,837,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
D,Khovsgol,2016,871,1,40,40,262,22,7,110,0,0,75240,1,NA,NA,0
D,Khovsgol,2016,875,4,38,58,340,15,10,110,12,5,30240,1,228,5,0
D,Khovsgol,2016,914,9,45,NA,NA,NA,NA,NA,NA,NA,15200,0,0,8,0
D,Khovsgol,2016,936,5,57,1,10,0,0,10,0,0,15200,0.25,0,8,0
D,Khovsgol,2016,954,3,42,21,129,4,9,30,5,0,30200,1,0,10,0
D,Khovsgol,2016,965,3,50,33,198,20,8,50,0,0,15200,0,0,8,0
D,Khovsgol,2016,968,2,25,61,356,2,4,130,30,6,45200,0.8,0,2,0
D,Khovsgol,2016,978,5,35,3,15,3,0,0,0,0,15150,1,0,5,0
D,Khovsgol,2016,979,5,52,11,60,6,5,0,0,0,15240,1,265,12,0
